,1960,1965,1970,1975,1980,1985,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Air carriera,"2,135","2,125","2,679","2,495","3,808","4,678","6,083","6,054","7,320","7,297","7,370","6,865","7,077","7,043","7,451","7,859","7,826","7,746","7,673","7,564","7,764","7,686","7,637","7,732","7,337","7,169","7,185","7,168","6,914","6,740","6,761","6,876","7,039","7,141"
General aviationb (active fleet),"76,549","95,442","131,743","168,475","211,045","210,654","198,000","196,874","185,650","177,120","172,935","188,089","191,129","192,414","204,710","219,464","217,533","211,446","211,244","209,708","219,426","224,352","221,943","231,607","228,663","223,877","223,370","222,250","209,034","199,927","204,408","210,030","211,793","211,757"
"Highway, total (registered vehicles)","74,431,800","91,739,623","111,242,295","137,912,779","161,490,159","177,133,282","193,057,376","192,313,834","194,427,346","198,041,338","201,801,921","205,427,212","210,441,249","211,580,033","215,496,003","220,461,056","225,821,241","235,331,382","234,624,135","236,760,033","243,010,550","247,421,120","250,844,644","254,403,081","255,917,664","254,212,610","250,070,048","253,215,681","253,639,386","255,876,822","260,350,938","263,610,219","268,799,083","272,480,899"
"Light duty vehicle, short wheel basec",N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,"196,491,176","196,762,927","193,979,654","190,202,782","183,522,635","183,171,882","184,497,490","187,554,928","189,618,308","192,774,508","193,672,370"
Passenger carsc,"61,671,390","75,257,588","89,243,557","106,705,934","121,600,843","127,885,193","133,700,496","128,299,601","126,581,148","127,327,189","127,883,469","128,386,775","129,728,341","129,748,704","131,838,538","132,432,044","133,621,420","137,633,467","135,920,677","135,669,897","136,430,651","136,568,083","135,399,945",N,N,N,N,N,N,N,N,N,N,N
Motorcycle,"574,032","1,381,956","2,824,098","4,964,070","5,693,940","5,444,404","4,259,462","4,177,365","4,065,118","3,977,856","3,756,555","3,897,191","3,871,599","3,826,373","3,879,450","4,152,433","4,346,068","4,903,056","5,004,156","5,370,035","5,767,934","6,227,146","6,678,958","7,138,476","7,752,926","7,929,724","8,009,503","8,437,502","8,454,939","8,404,687","8,417,718","8,600,936","8,679,380","8,715,204"
"Light duty vehicle, long wheel basec",N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,"39,186,974","39,685,228","40,488,025","40,241,658","50,318,787","50,588,676","51,512,740","52,600,309","53,298,884","54,870,473","56,880,878"
Other 2-axle 4-tire vehiclesc,U,U,"14,210,591","20,418,250","27,875,934","37,213,863","48,274,555","53,033,443","57,091,143","59,993,706","62,903,589","65,738,322","69,133,913","70,224,082","71,330,205","75,356,376","79,084,979","84,187,636","85,011,305","87,186,663","91,845,327","95,336,839","99,124,775",N,N,N,N,N,N,N,N,N,N,N
